x1,x2,y
0.56305,0.87896,4.3
0.5588,0.88918,4.3
0.55802,0.89091,4.3
0.57035,0.87019,4.3
0.57414,0.86315,4.3
0.54895,0.90989,4.3
0.56939,0.87043,4.3
0.56245,0.88472,4.3
0.56561,0.88305,4.4
0.55975,0.88812,4.4
0.56928,0.86941,4.4
0.56327,0.88405,4.4
0.56975,0.86811,4.4
0.58346,0.84106,4.4
0.57064,0.86356,4.4
0.55774,0.88985,4.4
0.56373,0.87419,4.4
0.55988,0.89097,4.4
0.57221,0.86491,4.4
0.57692,0.85331,4.4
0.56177,0.88149,4.4
0.58164,0.84818,4.4
0.57418,0.86268,4.4
0.57281,0.86157,4.4
0.55391,0.89982,4.4
0.57616,0.85714,4.4
0.56179,0.88833,5.9
0.554,0.90927,5.9
0.58291,0.84761,5.9
0.55959,0.88822,5.9
0.57463,0.86364,5.9
0.56045,0.88374,5.9
0.56065,0.89089,5.9
0.56554,0.87596,5.9
0.57886,0.85378,5.9
0.56298,0.87931,5.9
0.55778,0.89275,4.5
0.56907,0.87284,4.5
0.56681,0.87733,4.5
0.57018,0.87216,4.5
0.55329,0.90459,4.5
0.57333,0.86366,4.5
0.56005,0.88682,4.5
0.57262,0.86203,4.5
0.55149,0.90868,4.5
0.56599,0.87948,4.5
0.55923,0.89002,4.5
0.57261,0.86378,4.5
0.55995,0.88986,4.5
0.54857,0.9172,4.5
0.57156,0.87259,4.5
0.56256,0.88559,4.5
0.56046,0.89549,4.5
0.56063,0.889,4.5
0.58169,0.84897,4.5
0.56178,0.88512,4.5
0.57284,0.86327,4.5
0.60343,0.80179,4.5
0.56857,0.87285,4.5
0.57184,0.86998,4.5
0.57634,0.86159,4.5
0.58958,0.827,4.5
0.56501,0.88096,4.5
0.54641,0.91663,4.5
0.56197,0.88485,4.5
0.5674,0.87823,5.8
0.56193,0.88575,5.8
0.56975,0.86942,4.5
0.55232,0.90841,4.5
0.55005,0.90938,4.5
0.55521,0.90048,4.5
0.57048,0.87194,4.5
0.56828,0.87263,4.5
0.56401,0.88431,4.5
0.5604,0.89056,4.5
0.57295,0.85886,4.5
0.56363,0.87996,4.5
0.55768,0.90169,4.5
0.53943,0.9313,4.5
0.56658,0.88249,4.5
0.57076,0.86794,4.5
0.56935,0.8731,4.5
0.61422,0.77082,4.5
0.58045,0.85007,4.5
0.56817,0.87528,4.5
0.57141,0.86944,4.5
0.57469,0.86116,4.5
0.56897,0.87119,4.5
0.57512,0.86045,4.5
0.57678,0.85447,4.5
0.57385,0.86035,4.5
0.58637,0.83762,4.5
0.58082,0.84524,4.6
0.5749,0.85767,4.6
0.57767,0.85321,4.5
0.57709,0.85454,4.5
0.57712,0.85342,4.5
0.57681,0.85764,4.5
0.57451,0.86064,4.5
0.57573,0.8576,4.5
0.57438,0.85746,4.5
0.57305,0.86692,4.5
0.57113,0.8686,4.5
0.58427,0.83658,4.5
0.5809,0.84806,4.5
0.58531,0.83642,4.5
0.57508,0.86114,4.5
0.57466,0.85772,4.5
0.57298,0.86058,4.5
0.56243,0.88269,4.5
0.56853,0.86689,4.5
0.56538,0.87683,4.5
0.56742,0.87233,4.5
0.55509,0.89676,4.5
0.57004,0.86651,4.5
0.56654,0.87331,4.5
0.55823,0.89172,4.5
0.56537,0.87208,4.5
0.56532,0.8748,4.5
0.57131,0.86311,4.5
0.57696,0.85437,4.5
0.56411,0.87149,4.6
0.5763,0.8515,4.6
0.55791,0.89489,4.6
0.56072,0.88469,4.6
0.56379,0.87896,4.6
0.56926,0.86742,4.6
0.57576,0.85477,4.6
0.59734,0.80834,4.6
0.57658,0.85255,4.6
0.57829,0.84819,4.6
0.5793,0.84765,4.7
0.57878,0.84938,4.7
