含杂粒数,含杂面积,能量,熵,惯性矩,平稳性,回潮率
23,1.19,0.66451,0.67041,0.15664,0.92247,3.8
38,1.5,0.63013,0.73842,0.17704,0.91332,4
18,1.16,0.65845,0.68322,0.15534,0.92290,4
37,1.39,0.67896,0.64870,0.14946,0.92655,4
19,1.35,0.65254,0.69398,0.15725,0.92194,4
22,1,0.65091,0.69503,0.15810,0.92188,4
40,1.58,0.64556,0.71084,0.16577,0.91819,4
34,1.41,0.64228,0.71624,0.16394,0.91903,4
8,1.36,0.61914,0.75731,0.16606,0.91729,4
48,1.48,0.64760,0.70636,0.16250,0.91988,3.7
29,1.47,0.65055,0.69686,0.16411,0.91880,3.9
23,1.05,0.64788,0.70080,0.15962,0.92087,3.9
28,1.29,0.63915,0.71952,0.16283,0.91955,3.7
29,1.26,0.66142,0.67836,0.15682,0.92228,3.7
36,1.32,0.66200,0.67724,0.15291,0.92454,3.7
30,1.41,0.64381,0.71307,0.16400,0.91884,3.7
21,1.11,0.66157,0.67361,0.15681,0.92229,3.7
19,1.39,0.64115,0.71361,0.16545,0.91775,3.7
10,1.64,0.58571,0.81837,0.18165,0.90937,3.7
29,1.6,0.62510,0.74846,0.16560,0.91783,3.7
28,1.37,0.62517,0.74782,0.16709,0.91715,3.7
20,1.09,0.64451,0.70585,0.16343,0.91900,4
39,1.52,0.64683,0.70729,0.16238,0.91972,4
29,1.27,0.63870,0.71776,0.16278,0.91954,3.7
40,1.53,0.65523,0.69305,0.15840,0.92193,3.7
24,1.26,0.66643,0.66763,0.15661,0.92296,3.7
30,1.19,0.64608,0.70585,0.16332,0.91925,3.7
39,1.36,0.64294,0.71319,0.16637,0.91797,3.7
30,1.08,0.63422,0.72712,0.16371,0.91870,4.1
41,1.47,0.65578,0.69066,0.16319,0.91975,4.1
34,1.65,0.64709,0.70540,0.16123,0.92009,4.2
33,1.2,0.64447,0.70842,0.16473,0.91840,4.2
26,1.37,0.65126,0.69557,0.15943,0.92080,4.2
46,1.5,0.64283,0.71564,0.16392,0.91935,4.2
39,1.47,0.64541,0.71148,0.16217,0.92053,4.2
21,1.08,0.65522,0.68693,0.15707,0.92197,4.2
29,1.3,0.65220,0.69559,0.15869,0.92176,4.1
31,1.18,0.67395,0.65455,0.14903,0.92652,4.1
27,1.41,0.63061,0.73598,0.16317,0.91909,4.1
34,1.26,0.65599,0.68927,0.16069,0.92084,3.9
16,1.35,0.60212,0.78630,0.17671,0.91215,3.9
34,1.3,0.64721,0.70296,0.16190,0.91985,3.9
33,1.17,0.63766,0.72031,0.16576,0.91815,3.9
29,1.22,0.63896,0.71674,0.16207,0.91961,3.9
33,1.71,0.63948,0.71877,0.17078,0.91600,3.9
31,1.38,0.64847,0.70257,0.16227,0.91998,3.9
32,1.14,0.66396,0.67467,0.15396,0.92414,3.9
31,1.34,0.64637,0.70457,0.16398,0.91870,3.9
18,1.04,0.64992,0.69492,0.15900,0.92113,4
14,0.95,0.66833,0.66250,0.14929,0.92586,4
28,1.29,0.67413,0.65449,0.15182,0.92518,4
30,1.3,0.63659,0.72526,0.16145,0.91994,4
31,1.27,0.67313,0.65460,0.15299,0.92439,4.3
24,1.22,0.67262,0.65653,0.15280,0.92444,4
33,1.53,0.64527,0.70677,0.16510,0.91851,4
29,1.27,0.65491,0.68851,0.16051,0.92062,4
34,1.29,0.64284,0.71387,0.16357,0.91902,4
35,1.29,0.65011,0.70008,0.16217,0.92016,4
47,1.51,0.65709,0.68912,0.16310,0.91969,4.1
43,1.38,0.65585,0.68909,0.16248,0.92008,4.1
34,1.3,0.66670,0.66969,0.15371,0.92428,4.1
24,1.14,0.66377,0.67088,0.15720,0.92254,4.1
35,1.42,0.65289,0.69343,0.16122,0.92027,4.1
34,1.23,0.64739,0.70397,0.15961,0.92112,3.9
25,1.29,0.66310,0.67463,0.15301,0.92422,3.9
23,1.25,0.64662,0.70357,0.15884,0.92124,3.9
26,1.12,0.65975,0.67974,0.15785,0.92205,3.9
27,1.39,0.65204,0.69703,0.16026,0.92098,3.9
31,1.17,0.67428,0.65287,0.15876,0.92226,3.9
28,1.42,0.63789,0.71903,0.16619,0.91744,3.9
30,1.28,0.65230,0.69700,0.15945,0.92134,4.3
44,1.35,0.63423,0.73287,0.16527,0.91851,4.3
34,1.27,0.66355,0.67596,0.15474,0.92363,4.3
30,1.31,0.63380,0.72677,0.16720,0.91691,4.3
34,1.28,0.64339,0.71347,0.16218,0.91990,4.3
49,1.45,0.65345,0.69710,0.16008,0.92103,4.9
38,1.18,0.66224,0.67770,0.15571,0.92324,4.9
41,1.38,0.64931,0.70374,0.16102,0.92070,4.8
24,1.21,0.66791,0.66658,0.14960,0.92597,4.9
33,1.28,0.64768,0.70545,0.15776,0.92186,4.9
27,1.13,0.66511,0.66937,0.15324,0.92424,4.9
34,1.24,0.65736,0.68516,0.16172,0.92023,4.9
39,1.45,0.66387,0.67401,0.15600,0.92293,4.9
44,1.17,0.66395,0.67379,0.15448,0.92420,5
45,1.39,0.66294,0.67664,0.15474,0.92366,5
44,1.6,0.65942,0.68481,0.16138,0.92067,5
38,1.36,0.64798,0.70524,0.16249,0.91976,4.6
33,1.33,0.65075,0.69870,0.15676,0.92264,4.6
35,1.21,0.66686,0.66751,0.15379,0.92417,4.6
37,1.42,0.64135,0.71684,0.16206,0.91991,4.6
38,1.47,0.64696,0.70842,0.16251,0.92058,4.6
31,1.29,0.66374,0.67591,0.14875,0.92679,4.6
28,1.31,0.63092,0.73451,0.16638,0.91735,4.6
25,1.03,0.68384,0.63418,0.14678,0.92742,4.6
20,1.06,0.66878,0.66351,0.14941,0.92580,4.6
49,1.21,0.64831,0.70554,0.16218,0.92028,4.6
41,1.29,0.64545,0.70943,0.15865,0.92121,4.6
37,1.45,0.63770,0.72517,0.16699,0.91772,4.8
42,1.44,0.65814,0.68579,0.15856,0.92177,4.8
30,1.17,0.65410,0.69322,0.15673,0.92283,4.8
32,1.34,0.64703,0.70692,0.15983,0.92111,5
30,1.36,0.67436,0.65519,0.15260,0.92489,5
36,1.34,0.64087,0.71845,0.16262,0.91966,5
51,1.36,0.63432,0.73160,0.16389,0.91917,5
29,1.25,0.65408,0.69240,0.15615,0.92283,5
24,1.11,0.65258,0.69324,0.15379,0.92372,4.4
28,1.01,0.68466,0.63171,0.14725,0.92704,4.9
33,1.5,0.62098,0.75586,0.16835,0.91664,4.3
48,1.43,0.64569,0.71215,0.16260,0.92010,4.3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
